eventID,occurrenceID,measurementType,measurementValue
00a2c20d,,setupBy,anonymized:3eb30aa
00a2c20d,,cameraID,320
00a2c20d,,cameraModel,Reconyx-HF2X
00a2c20d,,cameraDelay,0
00a2c20d,,cameraHeight,1.3
00a2c20d,,cameraDepth,
00a2c20d,,cameraTilt,-15
00a2c20d,,cameraHeading,285
00a2c20d,,detectionDistance,3.2
00a2c20d,,baitUse,FALSE
00a2c20d,,deploymentGroups,area:HS | season:spring
00a2c20d,,deploymentTags,position:above stream
00a2c20d,,deploymentComments,
02ae9f43,1564e7e4_1,observationType,animal
02ae9f43,1564e7e4_1,individualPositionRadius,
02ae9f43,1564e7e4_1,individualPositionAngle,
02ae9f43,1564e7e4_1,individualSpeed,
02ae9f43,1564e7e4_1,bboxX,
02ae9f43,1564e7e4_1,bboxY,
02ae9f43,1564e7e4_1,bboxWidth,
02ae9f43,1564e7e4_1,bboxHeight,
02ae9f43,1564e7e4_1,classificationMethod,human
02ae9f43,1564e7e4_1,classifiedBy,Peter Desmet
02ae9f43,4b414100_1,observationType,animal
02ae9f43,4b414100_1,individualPositionRadius,
02ae9f43,4b414100_1,individualPositionAngle,
02ae9f43,4b414100_1,individualSpeed,
02ae9f43,4b414100_1,bboxX,
02ae9f43,4b414100_1,bboxY,
02ae9f43,4b414100_1,bboxWidth,
02ae9f43,4b414100_1,bboxHeight,
02ae9f43,4b414100_1,classificationMethod,human
02ae9f43,4b414100_1,classifiedBy,Peter Desmet
02ae9f43,5eaf82c8_1,observationType,animal
02ae9f43,5eaf82c8_1,individualPositionRadius,
02ae9f43,5eaf82c8_1,individualPositionAngle,
02ae9f43,5eaf82c8_1,individualSpeed,
02ae9f43,5eaf82c8_1,bboxX,
02ae9f43,5eaf82c8_1,bboxY,
02ae9f43,5eaf82c8_1,bboxWidth,
02ae9f43,5eaf82c8_1,bboxHeight,
02ae9f43,5eaf82c8_1,classificationMethod,human
02ae9f43,5eaf82c8_1,classifiedBy,Peter Desmet
02ae9f43,6578077a_1,observationType,animal
02ae9f43,6578077a_1,individualPositionRadius,
02ae9f43,6578077a_1,individualPositionAngle,
02ae9f43,6578077a_1,individualSpeed,
02ae9f43,6578077a_1,bboxX,
02ae9f43,6578077a_1,bboxY,
02ae9f43,6578077a_1,bboxWidth,
02ae9f43,6578077a_1,bboxHeight,
02ae9f43,6578077a_1,classificationMethod,human
02ae9f43,6578077a_1,classifiedBy,Peter Desmet
02ae9f43,9a14a118_1,observationType,animal
02ae9f43,9a14a118_1,individualPositionRadius,
02ae9f43,9a14a118_1,individualPositionAngle,
02ae9f43,9a14a118_1,individualSpeed,
02ae9f43,9a14a118_1,bboxX,
02ae9f43,9a14a118_1,bboxY,
02ae9f43,9a14a118_1,bboxWidth,
02ae9f43,9a14a118_1,bboxHeight,
02ae9f43,9a14a118_1,classificationMethod,human
02ae9f43,9a14a118_1,classifiedBy,Peter Desmet
02ae9f43,ccfa9680,observationType,animal
02ae9f43,ccfa9680,individualPositionRadius,
02ae9f43,ccfa9680,individualPositionAngle,
02ae9f43,ccfa9680,individualSpeed,
02ae9f43,ccfa9680,bboxX,
02ae9f43,ccfa9680,bboxY,
02ae9f43,ccfa9680,bboxWidth,
02ae9f43,ccfa9680,bboxHeight,
02ae9f43,ccfa9680,classificationMethod,human
02ae9f43,ccfa9680,classifiedBy,Danny Van der beeck
02ae9f43,da457b46_1,observationType,animal
02ae9f43,da457b46_1,individualPositionRadius,
02ae9f43,da457b46_1,individualPositionAngle,
02ae9f43,da457b46_1,individualSpeed,
02ae9f43,da457b46_1,bboxX,
02ae9f43,da457b46_1,bboxY,
02ae9f43,da457b46_1,bboxWidth,
02ae9f43,da457b46_1,bboxHeight,
02ae9f43,da457b46_1,classificationMethod,human
02ae9f43,da457b46_1,classifiedBy,Peter Desmet
02ae9f43,dbe27f82_1,observationType,animal
02ae9f43,dbe27f82_1,individualPositionRadius,
02ae9f43,dbe27f82_1,individualPositionAngle,
02ae9f43,dbe27f82_1,individualSpeed,
02ae9f43,dbe27f82_1,bboxX,
02ae9f43,dbe27f82_1,bboxY,
02ae9f43,dbe27f82_1,bboxWidth,
02ae9f43,dbe27f82_1,bboxHeight,
02ae9f43,dbe27f82_1,classificationMethod,human
02ae9f43,dbe27f82_1,classifiedBy,Peter Desmet
02ae9f43,eb0801ce_1,observationType,animal
02ae9f43,eb0801ce_1,individualPositionRadius,
02ae9f43,eb0801ce_1,individualPositionAngle,
02ae9f43,eb0801ce_1,individualSpeed,
02ae9f43,eb0801ce_1,bboxX,
02ae9f43,eb0801ce_1,bboxY,
02ae9f43,eb0801ce_1,bboxWidth,
02ae9f43,eb0801ce_1,bboxHeight,
02ae9f43,eb0801ce_1,classificationMethod,human
02ae9f43,eb0801ce_1,classifiedBy,Peter Desmet
02ae9f43,ef8b850b_1,observationType,animal
02ae9f43,ef8b850b_1,individualPositionRadius,
02ae9f43,ef8b850b_1,individualPositionAngle,
02ae9f43,ef8b850b_1,individualSpeed,
02ae9f43,ef8b850b_1,bboxX,
02ae9f43,ef8b850b_1,bboxY,
02ae9f43,ef8b850b_1,bboxWidth,
02ae9f43,ef8b850b_1,bboxHeight,
02ae9f43,ef8b850b_1,classificationMethod,human
02ae9f43,ef8b850b_1,classifiedBy,Peter Desmet
02ae9f43,fa90a9a6_1,observationType,animal
02ae9f43,fa90a9a6_1,individualPositionRadius,
02ae9f43,fa90a9a6_1,individualPositionAngle,
02ae9f43,fa90a9a6_1,individualSpeed,
02ae9f43,fa90a9a6_1,bboxX,
02ae9f43,fa90a9a6_1,bboxY,
02ae9f43,fa90a9a6_1,bboxWidth,
02ae9f43,fa90a9a6_1,bboxHeight,
02ae9f43,fa90a9a6_1,classificationMethod,human
02ae9f43,fa90a9a6_1,classifiedBy,Peter Desmet
14059fd2,1fb9601b_1,observationType,animal
14059fd2,1fb9601b_1,individualPositionRadius,
14059fd2,1fb9601b_1,individualPositionAngle,
14059fd2,1fb9601b_1,individualSpeed,
14059fd2,1fb9601b_1,bboxX,
14059fd2,1fb9601b_1,bboxY,
14059fd2,1fb9601b_1,bboxWidth,
14059fd2,1fb9601b_1,bboxHeight,
14059fd2,1fb9601b_1,classificationMethod,human
14059fd2,1fb9601b_1,classifiedBy,Peter Desmet
14059fd2,1fb9601b_2,observationType,animal
14059fd2,1fb9601b_2,individualPositionRadius,
14059fd2,1fb9601b_2,individualPositionAngle,
14059fd2,1fb9601b_2,individualSpeed,
14059fd2,1fb9601b_2,bboxX,
14059fd2,1fb9601b_2,bboxY,
14059fd2,1fb9601b_2,bboxWidth,
14059fd2,1fb9601b_2,bboxHeight,
14059fd2,1fb9601b_2,classificationMethod,human
14059fd2,1fb9601b_2,classifiedBy,Peter Desmet
14059fd2,32da352b_1,observationType,animal
14059fd2,32da352b_1,individualPositionRadius,
14059fd2,32da352b_1,individualPositionAngle,
14059fd2,32da352b_1,individualSpeed,
14059fd2,32da352b_1,bboxX,
