occurrenceID,individualCount,sex,lifeStage,behavior,occurrenceStatus,eventID,identifiedBy,dateIdentified,identificationRemarks,scientificName,kingdom
e68deaed_3,1,male,adult,,present,e68deaed,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
c5efbcb3_1,1,,adult,,present,c5efbcb3,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
c5efbcb3_2,1,female,adult,,present,c5efbcb3,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
c5efbcb3_3,1,male,adult,,present,c5efbcb3,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
07eee194_1,1,,adult,,present,07eee194,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
07eee194_2,1,female,adult,,present,07eee194,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
07eee194_3,1,male,adult,,present,07eee194,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
479a93c4_1,1,,adult,,present,479a93c4,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
479a93c4_2,1,female,adult,,present,479a93c4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
479a93c4_3,1,male,adult,,present,479a93c4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
6d65f3e4_1,1,,adult,,present,6d65f3e4,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
6d65f3e4_2,1,female,adult,,present,6d65f3e4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
6d65f3e4_3,1,male,adult,,present,6d65f3e4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
5ba57018_1,1,,adult,,present,5ba57018,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
5ba57018_2,1,female,adult,,present,5ba57018,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
5ba57018_3,1,male,adult,,present,5ba57018,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
c39a0749_1,1,,adult,,present,c39a0749,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
c39a0749_2,1,female,adult,,present,c39a0749,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
c39a0749_3,1,male,adult,,present,c39a0749,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d2ed4389_1,1,,adult,,present,d2ed4389,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
d2ed4389_2,1,female,adult,,present,d2ed4389,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d2ed4389_3,1,male,adult,,present,d2ed4389,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
51549c25_1,1,,adult,,present,51549c25,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
51549c25_2,1,female,adult,,present,51549c25,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
51549c25_3,1,male,adult,,present,51549c25,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b78bb29f_1,1,,adult,,present,b78bb29f,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
b78bb29f_2,1,female,adult,,present,b78bb29f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b78bb29f_3,1,male,adult,,present,b78bb29f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d6785b65_1,1,,adult,,present,d6785b65,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
d6785b65_2,1,female,adult,,present,d6785b65,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d6785b65_3,1,male,adult,,present,d6785b65,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
2b860458_1,1,,adult,,present,2b860458,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
2b860458_2,1,female,adult,,present,2b860458,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
2b860458_3,1,male,adult,,present,2b860458,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d45648b9_1,1,,adult,,present,d45648b9,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
d45648b9_2,1,female,adult,,present,d45648b9,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d45648b9_3,1,male,adult,,present,d45648b9,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
eecd8ce1_1,1,,adult,,present,eecd8ce1,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
eecd8ce1_2,1,female,adult,,present,eecd8ce1,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
eecd8ce1_3,1,male,adult,,present,eecd8ce1,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
48d26ebc_1,1,,adult,,present,48d26ebc,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
48d26ebc_2,1,female,adult,,present,48d26ebc,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
48d26ebc_3,1,male,adult,,present,48d26ebc,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
4afd0344_1,1,,adult,,present,4afd0344,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
4afd0344_2,1,female,adult,,present,4afd0344,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
4afd0344_3,1,male,adult,,present,4afd0344,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
916964ac_1,1,,adult,,present,916964ac,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
916964ac_2,1,female,adult,,present,916964ac,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
916964ac_3,1,male,adult,,present,916964ac,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
3e8e355a_1,1,,adult,,present,3e8e355a,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
3e8e355a_2,1,female,adult,,present,3e8e355a,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
3e8e355a_3,1,male,adult,,present,3e8e355a,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b7792672_1,1,,adult,,present,b7792672,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
b7792672_2,1,female,adult,,present,b7792672,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b7792672_3,1,male,adult,,present,b7792672,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1683dd3b_1,1,,adult,,present,1683dd3b,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
1683dd3b_2,1,female,adult,,present,1683dd3b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1683dd3b_3,1,male,adult,,present,1683dd3b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e6c63f88_1,1,,adult,,present,e6c63f88,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
e6c63f88_2,1,female,adult,,present,e6c63f88,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e6c63f88_3,1,male,adult,,present,e6c63f88,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
91a1ba54_1,1,,adult,,present,91a1ba54,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
91a1ba54_2,1,female,adult,,present,91a1ba54,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
91a1ba54_3,1,male,adult,,present,91a1ba54,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
233a2f40_1,1,,adult,,present,233a2f40,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
233a2f40_2,1,female,adult,,present,233a2f40,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
233a2f40_3,1,male,adult,,present,233a2f40,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
5e01e638_1,1,,adult,,present,5e01e638,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
5e01e638_2,1,female,adult,,present,5e01e638,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
5e01e638_3,1,male,adult,,present,5e01e638,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
dadf1718_1,1,,adult,,present,dadf1718,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
dadf1718_2,1,female,adult,,present,dadf1718,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
dadf1718_3,1,male,adult,,present,dadf1718,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
643d63a4_1,1,,adult,,present,643d63a4,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
643d63a4_2,1,female,adult,,present,643d63a4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
643d63a4_3,1,male,adult,,present,643d63a4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
19744c44_1,1,,adult,,present,19744c44,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
19744c44_2,1,female,adult,,present,19744c44,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
19744c44_3,1,male,adult,,present,19744c44,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
edc345bc_1,1,,adult,,present,edc345bc,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
edc345bc_2,1,female,adult,,present,edc345bc,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
edc345bc_3,1,male,adult,,present,edc345bc,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b6e435f8_1,1,,adult,,present,b6e435f8,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
b6e435f8_2,1,female,adult,,present,b6e435f8,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b6e435f8_3,1,male,adult,,present,b6e435f8,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
54c5d869_1,1,,adult,,present,54c5d869,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
54c5d869_2,1,female,adult,,present,54c5d869,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
54c5d869_3,1,male,adult,,present,54c5d869,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a9fa9969,3,,,,present,14059fd2,Peter Desmet,2023-02-02T14:00:39Z,identificationRemarks,Anas platyrhynchos,Animalia
4e417be8,1,male,adult,foraging,present,14059fd2,Peter Desmet,2023-02-02T14:00:46Z,identificationRemarks,Anas platyrhynchos,Animalia
9997f96e_1,3,,,,present,9997f96e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
9997f96e_2,1,male,adult,,present,9997f96e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e4765ced_1,3,,,,present,e4765ced,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e4765ced_2,1,male,adult,,present,e4765ced,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e0d3e72e_1,2,,,,present,e0d3e72e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e0d3e72e_2,1,male,adult,,present,e0d3e72e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
6bd083fd_1,2,,,,present,6bd083fd,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
6bd083fd_2,1,male,adult,,present,6bd083fd,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
f1b07d90_1,1,,,,present,f1b07d90,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
f1b07d90_2,1,male,adult,,present,f1b07d90,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
32da352b_1,1,,,,present,32da352b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
32da352b_2,1,male,adult,foraging,present,32da352b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b0bb7a64_1,1,,,,present,b0bb7a64,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b0bb7a64_2,1,male,adult,foraging,present,b0bb7a64,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ad2d234c_1,1,,,,present,ad2d234c,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ad2d234c_2,1,male,adult,foraging,present,ad2d234c,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
5ceaf351_1,1,,,,present,5ceaf351,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
5ceaf351_2,1,male,adult,foraging,present,5ceaf351,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1fb9601b_1,1,,,,present,1fb9601b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1fb9601b_2,1,male,adult,foraging,present,1fb9601b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ebed479a,1,,,,present,780c49bd,Danny Van der beeck,2020-07-09T09:46:08Z,identificationRemarks,Rattus norvegicus,Animalia
e8b62b7e_1,1,,,,present,e8b62b7e,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
eb0f5a36_1,1,,,,present,eb0f5a36,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
51372859_1,1,,,,present,51372859,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
fb4f22df_1,1,,,,present,fb4f22df,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
4c2e721f_1,1,,,,present,4c2e721f,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
4f95d6c1_1,1,,,,present,4f95d6c1,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
9719433c_1,1,,,,present,9719433c,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
87d9bbb7_1,1,,,,present,87d9bbb7,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
d82e840f_1,1,,,,present,d82e840f,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
37bdf4b3_1,1,,,,present,37bdf4b3,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
3d065f23,3,,subadult,,present,89b807ca,Peter Desmet,2023-02-06T11:18:49Z,identificationRemarks,Anas strepera,Animalia
66922f89,2,female,adult,,present,89b807ca,Peter Desmet,2023-02-06T11:20:07Z,identificationRemarks,Anas platyrhynchos,Animalia
8263e85b_1,2,,subadult,,present,8263e85b,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
8263e85b_2,2,female,adult,,present,8263e85b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
cf97e186_1,2,,subadult,,present,cf97e186,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
cf97e186_2,2,female,adult,,present,cf97e186,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
969ee7eb_1,3,,subadult,,present,969ee7eb,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
969ee7eb_2,2,female,adult,,present,969ee7eb,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
2f80c542_1,3,,subadult,,present,2f80c542,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
2f80c542_2,2,female,adult,,present,2f80c542,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a67541cf_1,3,,subadult,,present,a67541cf,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
a67541cf_2,2,female,adult,,present,a67541cf,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
00c300dc_1,3,,subadult,,present,00c300dc,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
00c300dc_2,1,female,adult,,present,00c300dc,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e5a7fafa_1,3,,subadult,,present,e5a7fafa,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
e5a7fafa_2,1,female,adult,,present,e5a7fafa,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
465e0790_1,3,,subadult,,present,465e0790,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
465e0790_2,1,female,adult,,present,465e0790,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a3d8e093_1,3,,subadult,,present,a3d8e093,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
a3d8e093_2,1,female,adult,,present,a3d8e093,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
9aa6b614_1,3,,subadult,,present,9aa6b614,Peter Desmet,,identificationRemarks,Anas strepera,Animalia
9aa6b614_2,1,female,adult,,present,9aa6b614,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1fa8b00a,2,female,adult,,present,710eac2a,Peter Desmet,2023-02-02T14:16:52Z,identificationRemarks,Anas platyrhynchos,Animalia
6ef7e463_1,2,female,adult,,present,6ef7e463,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
9daa27f6_1,2,female,adult,,present,9daa27f6,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d6de3d71_1,2,female,adult,,present,d6de3d71,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1e381a4f_1,2,female,adult,,present,1e381a4f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d1d5db8f_1,2,female,adult,,present,d1d5db8f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
7206f7aa_1,2,female,adult,,present,7206f7aa,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
4c6b5b3b_1,2,female,adult,,present,4c6b5b3b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
c953bbdb_1,2,female,adult,,present,c953bbdb,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
9fb67f43_1,2,female,adult,,present,9fb67f43,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d432ab6f_1,2,female,adult,,present,d432ab6f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e57d97b3,2,female,adult,,present,149f42ec,Peter Desmet,2023-02-02T14:19:09Z,identificationRemarks,Anas platyrhynchos,Animalia
58a41680_1,1,female,adult,,present,58a41680,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b84bcd80_1,1,female,adult,,present,b84bcd80,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
81d1219e_1,1,female,adult,,present,81d1219e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
85e5cd57_1,2,female,adult,,present,85e5cd57,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
020dbfe0_1,2,female,adult,,present,020dbfe0,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
fb144e45_1,2,female,adult,,present,fb144e45,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
fb6eb723_1,2,female,adult,,present,fb6eb723,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
7aaee7d3_1,2,female,adult,,present,7aaee7d3,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
987e1ab4_1,2,female,adult,,present,987e1ab4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
