occurrenceID,individualCount,sex,lifeStage,behavior,occurrenceStatus,eventID,identifiedBy,dateIdentified,identificationRemarks,scientificName,kingdom
705e6036,1,female,adult,foraging,present,4bb69c45,Danny Van der beeck,2020-07-09T09:39:52Z,identificationRemarks,Anas platyrhynchos,Animalia
07840dcc_1,1,female,adult,,present,07840dcc,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
401386c7_1,1,female,adult,foraging,present,401386c7,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ca3ff293_1,1,female,adult,foraging,present,ca3ff293,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e8b8e44c_1,1,female,adult,foraging,present,e8b8e44c,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b8690a15_1,1,female,adult,foraging,present,b8690a15,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
64734615_1,1,female,adult,,present,64734615,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
12ce5004_1,1,female,adult,,present,12ce5004,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
f372acaf_1,1,female,adult,,present,f372acaf,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
97140835_1,1,female,adult,,present,97140835,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
d1326349_1,1,female,adult,,present,d1326349,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
1fcdba64,2,female,adult,,present,f99bfff4,Danny Van der beeck,2020-07-09T09:40:44Z,identificationRemarks,Anas platyrhynchos,Animalia
017e3d07_1,2,female,adult,,present,017e3d07,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
e82ea167_1,2,female,adult,,present,e82ea167,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
8aab9351_1,1,female,adult,,present,8aab9351,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
dd543fc8_1,1,female,adult,,present,dd543fc8,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
6affb228_1,1,female,adult,,present,6affb228,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
ef3afb3b_1,1,female,adult,,present,ef3afb3b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
bbd0d520_1,1,female,adult,,present,bbd0d520,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
4729dc5c,1,,,,present,45abeadc,Danny Van der beeck,2020-07-09T09:41:22Z,identificationRemarks,Rattus norvegicus,Animalia
75e6d1df_1,1,,,,present,75e6d1df,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
948c2184_1,1,,,,present,948c2184,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
8f0c5a8c_1,1,,,,present,8f0c5a8c,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
50d30a87_1,1,,,,present,50d30a87,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
bdd7481f_1,1,,,,present,bdd7481f,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
c459b1f0_1,1,,,,present,c459b1f0,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
dbf41369_1,1,,,,present,dbf41369,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
bdfc4e2d_1,1,,,,present,bdfc4e2d,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
7a1ac372_1,1,,,,present,7a1ac372,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
6528fd34_1,1,,,,present,6528fd34,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
8e7f37f4_1,1,,,,present,8e7f37f4,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
1f1217b7_1,1,,,,present,1f1217b7,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
1640ad29_1,1,,,,present,1640ad29,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
f633bdc2_1,1,,,,present,f633bdc2,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
209dc64d_1,1,,,,present,209dc64d,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
690535a6_1,1,,,,present,690535a6,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
b6fa4933_1,1,,,,present,b6fa4933,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
f418bc6c_1,1,,,,present,f418bc6c,Peter Desmet,,identificationRemarks,Rattus norvegicus,Animalia
254635b0,1,female,adult,,present,52107a58,Danny Van der beeck,2020-07-09T09:43:19Z,identificationRemarks,Anas platyrhynchos,Animalia
22a452e1,9,,juvenile,,present,52107a58,Danny Van der beeck,2020-07-09T09:43:06Z,identificationRemarks,Anas platyrhynchos,Animalia
a33837bf_1,1,female,adult,,present,a33837bf,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a33837bf_2,9,,juvenile,,present,a33837bf,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a4c90844_1,1,female,adult,,present,a4c90844,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a4c90844_2,9,,juvenile,,present,a4c90844,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b8d6c1ec_1,1,female,adult,,present,b8d6c1ec,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b8d6c1ec_2,9,,juvenile,,present,b8d6c1ec,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
9c4b83d9_1,1,female,adult,,present,9c4b83d9,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
9c4b83d9_2,9,,juvenile,,present,9c4b83d9,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
7e4de13b_1,1,female,adult,,present,7e4de13b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
7e4de13b_2,9,,juvenile,,present,7e4de13b,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
72366a31_1,1,female,adult,,present,72366a31,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
72366a31_2,9,,juvenile,,present,72366a31,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a55b821f_1,1,female,adult,,present,a55b821f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
a55b821f_2,9,,juvenile,,present,a55b821f,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
28290b2c_1,1,female,adult,,present,28290b2c,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
28290b2c_2,9,,juvenile,,present,28290b2c,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
53446511_1,1,female,adult,,present,53446511,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
53446511_2,9,,juvenile,,present,53446511,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
7d3e106e_1,1,female,adult,,present,7d3e106e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
7d3e106e_2,9,,juvenile,,present,7d3e106e,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
277b2a9f,4,male,adult,foraging,present,7363b68a,Peter Desmet,2023-02-02T13:56:25Z,identificationRemarks,Anas platyrhynchos,Animalia
b1e03fbb_1,4,male,adult,,present,b1e03fbb,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
f69cf443_1,4,male,adult,,present,f69cf443,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
235078cc_1,4,male,adult,,present,235078cc,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
8b8ba813_1,4,male,adult,,present,8b8ba813,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
b5e07538_1,4,male,adult,,present,b5e07538,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
f38e18d4_1,4,male,adult,,present,f38e18d4,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
67aecf0d_1,4,male,adult,,present,67aecf0d,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
fc05b93d_1,4,male,adult,,present,fc05b93d,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
46ee4572_1,4,male,adult,,present,46ee4572,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
2840949c_1,4,male,adult,,present,2840949c,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
05230014,1,,adult,,present,79204343,Peter Desmet,2023-02-02T13:57:58Z,identificationRemarks,Ardea cinerea,Animalia
5ead5692,1,female,adult,,present,79204343,Danny Van der beeck,2020-07-09T09:44:39Z,identificationRemarks,Anas platyrhynchos,Animalia
29939500,1,male,adult,,present,79204343,Danny Van der beeck,2020-07-09T09:44:50Z,identificationRemarks,Anas platyrhynchos,Animalia
e68deaed_1,1,,adult,,present,e68deaed,Peter Desmet,,identificationRemarks,Ardea cinerea,Animalia
e68deaed_2,1,female,adult,,present,e68deaed,Peter Desmet,,identificationRemarks,Anas platyrhynchos,Animalia
