type,rightsHolder,datasetID,datasetName,dataGeneralizations,eventID,parentEventID,eventType,eventDate,habitat,samplingProtocol,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,locationID,locationName
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,00a2c20d,,deployment,2020-05-30T02:57:37Z/2020-07-01T09:41:41Z,Campine area with a number of river valleys with valuable grasslands,camera trap,51.496,4.774,EPSG:4326,187,e254a13c,B_HS_val 2_processiepark
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,29b7d356,,deployment,2020-07-29T05:29:41Z/2020-08-08T04:20:40Z,Protected marsh with ponds and small brooks,camera trap,51.181,5.655,EPSG:4326,187,2df5259b,B_DL_val 5_beek kleine vijver
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,577b543a,,deployment,2020-06-19T21:00:00Z/2020-06-28T23:33:22Z,Protected marsh with ponds and small brooks,camera trap,51.184,5.659,EPSG:4326,187,ff1535c0,B_DL_val 3_dikke boom
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,62c200a9,,deployment,2021-03-27T20:38:18Z/2021-04-18T21:25:00Z,"Stream valley with complexes of grassland, poplar plantations, alluvial forrest, marsh vegetations, forbs and ponds",camera trap,50.699,4.013,EPSG:4326,187,ce943ced,B_DM_val 4_'t WAD
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,4bb69c45,00a2c20d,sequence,2020-05-30T02:57:37Z/2020-05-30T02:57:44Z,Campine area with a number of river valleys with valuable grasslands,camera trap,51.496,4.774,EPSG:4326,187,e254a13c,B_HS_val 2_processiepark
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,f99bfff4,00a2c20d,sequence,2020-05-31T04:05:10Z/2020-05-31T04:05:16Z,Campine area with a number of river valleys with valuable grasslands,camera trap,51.496,4.774,EPSG:4326,187,e254a13c,B_HS_val 2_processiepark
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,45abeadc,00a2c20d,sequence,2020-05-31T20:06:43Z/2020-05-31T20:07:36Z,Campine area with a number of river valleys with valuable grasslands,camera trap,51.496,4.774,EPSG:4326,187,e254a13c,B_HS_val 2_processiepark
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,ea72c74f,00a2c20d,sequence,2020-06-05T02:49:20Z/2020-06-05T02:49:32Z,Campine area with a number of river valleys with valuable grasslands,camera trap,51.496,4.774,EPSG:4326,187,e254a13c,B_HS_val 2_processiepark
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,52107a58,00a2c20d,sequence,2020-06-06T04:11:07Z/2020-06-06T04:11:13Z,Campine area with a number of river valleys with valuable grasslands,camera trap,51.496,4.774,EPSG:4326,187,e254a13c,B_HS_val 2_processiepark
Event,Research Institute for Nature and Forest (INBO),7cca70f5-ef8c-4f86-85fb-8f070937d7ab,"Sample from: MICA - Muskrat and coypu camera trap observations in Belgium, the Netherlands and Germany",coordinates rounded to 0.001 degree,52107a58,00a2c20d,sequence,2020-06-06T04:11:07Z/2020-06-06T04:11:13Z,Campine area with a number of river valleys with valuable grasslands,camera trap,51.496,4.774,EPSG:4326,187,e254a13c,B_HS_val 2_processiepark
